,Solvent,CHEM21,CHEM21 Numerical,Molecular Weight,Boiling Point,Melting Point,Density,Viscosity,Vapour Pressure,Refractive Index,LogP,Dipole Moment,Dielectric Constant,Alpha,Beta,Pi,Dispersion,Polarity,H Bonding,Molar Volume,Functional Group,Grignard,Amide Coupling 1,Amide Coupling 2,Heck,Baylis-Hillman,Suzuki-Miyaura Pd,Suzuki-Miyaura Ni,Buchwald-Hartwig,Alkene Metathesis,SNAr,cost,Alternative Name
0,"1,2-Dichloroethane",Highly Hazardous,0.0,98.9596,83.4,-35.6,1.2454,0.78,78.89,1.4422,1.48,1.27,10.74,0.0,0.1,0.81,19.0,7.4,4.1,79.46009314,No Group,,,,,,,,,97.0,,28 £/L,Dichloroethane
1,"1,2-Dimethoxyethane",Hazardous,1.0,90.12,85.0,-58.0,0.863,0.4859,48.0,1.3813,-0.21,1.71,7.2,0.0,0.41,0.53,15.4,6.3,6.0,104.4264195,No Group,52.3,,,,,,,86.0,,,54 £/L,Dimethoxyethane
2,2-Methoxyethanol,Hazardous,1.0,76.095,124.1,-85.1,0.9647,1.544,9.5,1.4024,-0.77,2.04,16.93,0.264705882,0.419019608,0.624716981,16.2,9.2,16.4,78.87944439,No Group,,,,,,,,,,,40 £/L,Methoxyethanol
3,Acetic acid,Problematic,2.0,60.0524,117.9,16.6,1.0446,1.056,15.7,1.372,-0.17,1.7,6.2,1.12,0.45,0.64,14.5,8.0,13.5,57.48841662,No Group,,,,,,,,,,,36 £/L,Acetic acid
4,Acetic anhydride,Problematic,2.0,102.0896,139.5,-73.4,1.082,0.843,5.11,1.3901,-0.27,2.8,20.7,0.0,0.29,0.76,16.0,11.7,10.2,94.35268022,No Group,,,,,,,,,,,40 £/L,Acetic anhydride
5,Acetone,Recommended,3.0,58.0798,56.08,-94.9,0.7845,0.32,231.0,1.3588,-0.24,2.88,20.7,0.08,0.43,0.71,15.5,10.4,7.0,74.03416189,No Group,,,,,,,96.0,,,,28 £/L,Acetone
6,Acetonitrile,Problematic,2.0,41.0524,81.6,-44.0,0.79,0.35,88.8,1.33934,-0.34,3.94,37.5,0.19,0.4,0.75,15.3,18.0,6.1,51.96506329,No Group,,,80.0,58.0,50.0,,99.0,,,,73 £/L,Acetonitrile
7,Anisole,Recommended,3.0,108.14,153.7,-37.3,0.9956,0.778,3.54,1.51791,2.11,1.36,4.3,0.0,0.32,0.73,17.8,4.1,6.7,108.6179188,No Group,,,,,,97.0,,16.0,,,32 £/L,None
8,Benzene,Highly Hazardous,0.0,78.1134,80.08,5.558,0.8756,0.604,94.8,1.5011,2.13,0.0,2.275,0.0,0.1,0.59,18.4,0.0,2.0,89.21128369,Arene,,,,,,,,,,,48 £/L,Benzene
9,Benzotrifluoride,No Ranking,,146.11,103.46,-29.05,1.1886,0.5524,38.83,1.41486,3.01,2.86,9.18,0.264705882,0.419019608,0.624716981,17.5,8.8,0.0,122.9261316,No Group,,,,,,,,,,,71 £/L,None
10,Benzyl alcohol,Problematic,2.0,108.1396,205.3,-15.2,1.0419,5.474,0.094,1.5396,1.1,1.71,13.0,0.6,0.52,0.98,18.4,6.3,13.7,103.7907669,No Group,,,,,,,,,,,25 £/L,Benzyl alcohol
11,Carbon tetrachloride,Highly Hazardous,0.0,153.823,76.7,-22.2,1.594,0.91,115.0,1.4601,2.83,0.0,2.3,0.0,0.1,0.28,17.8,0.0,0.6,96.50125471,No Group,,,,,,,,,,,10000 £/L,Carbontetrachloride
12,Chloroform,Highly Hazardous,0.0,119.3779,61.12,-63.47,1.484,0.54,197.0,1.4459,1.97,1.01,4.8,0.2,0.1,0.58,17.8,3.1,5.7,80.44332884,No Group,,,,,,,,,,,30 £/L,Chloroform
13,Cyclohexane,Problematic,2.0,84.1608,80.7,6.47,0.7781,0.89,97.5,1.42662,3.44,0.61,2.0,0.0,0.0,0.0,16.8,0.0,0.2,108.1619329,Alkane,,,,,,,,,,,21.5 £/L,Cyclohexane
14,Cyclohexanone,Problematic,2.0,98.1444,155.4,-31.0,0.9421,2.02,5.0,1.4507,0.81,3.08,16.02,0.0,0.53,0.76,17.8,6.3,5.1,104.1762021,No Group,,,,,,,,,,,29 £/L,Cyclohexanone
15,Cyclopentyl methyl ether,No Ranking,,100.1602,105.45,-140.0,0.86,0.549,34.6,1.4235,1.59,1.27,4.76,0.0,0.53,0.42,16.7,4.3,4.3,116.4653488,No Group,61.0,100.0,,14.5,50.0,98.0,,63.0,73.0,,87 £/L,None
16,Cyrene,No Ranking,,128.13,227.0,-20.0,1.25,11.62,0.11,1.4712,-0.71,4.4,3.4,0.0,0.61,0.93,18.8,10.6,6.9,102.504,No Group,,,,58.0,100.0,,,,,51.0,122 £/L,None
17,Dichloromethane,Hazardous,1.0,84.9328,39.75,-95.0,1.3255,0.41,435.0,1.4244,1.25,1.6,9.1,0.13,0.1,0.82,18.2,6.3,6.1,64.07604677,No Group,,100.0,91.0,,,,,,97.0,,19 £/L,Dichloromethane
18,Diethyl ether,Highly Hazardous,0.0,74.1224,34.6,-116.3,0.7134,0.22,538.0,1.35555,0.89,1.15,4.3,0.0,0.47,0.27,14.5,2.9,5.1,103.9001962,No Group,81.0,,,,,,,,,,20 £/L,Diethyl ether
19,Dimethyl carbonate,No Ranking,,90.0786,90.5,0.5,1.0636,0.664,55.364,1.3687,0.15,0.93,3.17,0.0,0.32,0.44,15.5,3.9,9.7,84.69217751,No Group,,100.0,,,,98.0,,,93.0,,41 £/L,None
20,Dimethyl sulfoxide,Problematic,2.0,78.1288,189.0,18.45,1.1,1.99,0.6,1.4783,-1.35,3.96,46.68,0.0,0.76,1.0,18.4,16.4,10.2,71.02618182,No Group,,,87.0,63.5,60.0,,0.0,,,,160 £/L,Dimethylsulfoxide
21,Dioxane,Hazardous,1.0,88.11,101.2,11.75,1.0337,1.18,38.1,1.4224,-0.27,0.0,2.2,0.0,0.37,0.55,19.0,1.8,7.4,85.23749637,No Group,,,,,,,,,,,56 £/L,Dioxane
22,Ethanol,Recommended,3.0,46.0688,78.24,-114.1,0.7893,1.07,59.3,1.3611,-0.31,1.69,24.55,0.86,0.75,0.54,15.8,8.8,19.4,58.366654,Alcohol,,,,,,,,,,,40 £/L,Ethanol
23,Ethyl acetate,Recommended,3.0,88.106,77.1,-83.8,0.9003,0.42,93.2,1.3723,0.73,1.78,6.0,0.0,0.45,0.55,15.8,5.3,7.2,97.86293458,No Group,,100.0,89.0,,,95.0,100.0,72.0,97.0,,28 £/L,Ethyl acetate
24,Ethyl lactate,No Ranking,,118.13,154.0,-26.0,1.0328,2.398,3.75,1.4124,-0.19,2.55,13.1,0.69,0.52,0.82,16.0,7.6,12.5,114.3783888,No Group,,,,,,,,,,,55 £/L,None
25,Ethylene carbonate,No Ranking,,88.0628,248.0,36.4,1.3214,1.93,0.00979,1.4148,-0.9,4.51,89.78,0.0,0.32,0.99,19.4,21.7,5.1,66.64355986,No Group,,,,,,,,,,,38 £/L,None
26,Ethylene glycol,Recommended,3.0,62.0682,197.3,-12.69,1.1135,16.1,0.092,1.4318,-1.36,2.31,37.7,0.9,0.52,0.92,17.0,11.0,26.0,55.7415357,No Group,,,,,,,,,,,23 £/L,Ethylene Glycol
27,Gamma-valerolactone,No Ranking,,100.12,205.0,-31.0,1.05,1.86,0.33,1.4313,-0.27,4.71,36.14,0.0,0.58,0.88,15.5,4.7,6.6,95.35238095,No Group,,,,78.5,73.0,63.0,,25.0,,86.0,98 £/L,None
28,Heptane,Problematic,2.0,100.2034,98.38,-90.549,0.6795,0.395,46.03,1.3855,4.66,0.0,1.92,0.0,0.0,-0.08,15.3,0.0,0.0,147.4663723,Alkane,,,,,,,,,,,47 £/L,Heptane
29,Hexafluoroisopropanol,No Ranking,,168.05,58.9,-3.9,1.596,1.58,158.0,1.275,1.91,2.05,16.7,1.96,0.0,0.65,17.2,4.5,14.7,105.2944862,No Group,,,,,,,,,,,1000 £/L,None
30,Hexamethylphosphoramide,Highly Hazardous,0.0,179.2,233.0,6.1,1.03,3.24,0.03,1.4572,0.28,4.19,29.0,0.0,1.05,0.87,18.5,8.6,11.3,173.9805825,No Group,,,,,,,,,,,452 £/L,HMPA
31,Hexane,Hazardous,1.0,86.1766,68.7,-95.35,0.6606,0.295,153.0,1.3727,3.9,0.0,1.88,0.0,0.0,-0.04,14.9,0.0,0.0,130.4520133,Alkane,,,,,,,,,,,70 £/L,hexane
32,i-Amyl alcohol,No Ranking,,88.1492,132.5,-117.2,0.813,3.738,2.37,1.4075,1.16,1.7,15.2,0.84,0.86,0.4,15.8,5.2,13.3,108.4246002,No Group,,,,,,,,,,,62 £/L,None
33,i-Butanol,No Ranking,,74.1224,108.0,-108.0,0.8018,3.332,10.4,1.3955,0.76,1.64,17.7,0.79,0.84,0.4,15.1,5.7,15.9,92.44499875,Alcohol,,,,,,,,,,,60 £/L,None
34,Isopropyl alcohol,Recommended,3.0,60.0956,82.3,-88.5,0.78509,2.04,45.4,1.377,0.05,1.59,19.4,0.76,0.95,0.48,15.8,6.1,16.4,76.54612847,Alcohol,,100.0,,,,,,,31.0,,47 £/L,None
35,Isopropylacetate,Recommended,3.0,102.1328,88.6,-73.4,0.8718,0.49,60.37,1.3773,1.02,1.75,6.3,0.0,0.4,0.53,14.9,4.5,8.2,117.1516403,No Group,,,,,,96.0,100.0,77.0,,,27 £/L,isopropylacetate
36,Methanol,Recommended,3.0,32.042,64.7,-97.8,0.7866,0.54,127.0,1.3292,-0.77,1.7,32.7,0.98,0.66,0.6,15.1,12.3,22.3,40.73480803,Alcohol,,,,,,,,,28.0,,31 £/L,Methanol
37,Methyl cyclohexane,Problematic,2.0,98.1876,100.9,-126.6,0.7694,0.687,46.0,1.4231,3.61,0.0,2.02,0.264705882,0.419019608,-0.01,16.0,0.0,1.0,127.6158045,Alkane,,,,,,,,,,,30 £/L,Methylcyclohexane
38,Methyl ethyl ketone,Recommended,3.0,72.1066,79.59,-86.67,0.7997,0.41,90.6,1.3788,0.29,2.76,18.4,0.06,0.48,0.67,16.0,9.0,5.1,90.16706265,No Group,,,,,,,,,,,24 £/L,MEK
39,Methyl isobutyl ketone,Recommended,3.0,100.1602,115.7,-85.0,0.7965,0.55,19.9,1.3962,1.31,2.7,13.11,0.02,0.48,0.65,15.3,6.1,4.1,125.750408,No Group,,,,,,,,,,,30 £/L,Methyl isobutyl ketone
40,Methyl tert-butyl ether,Hazardous,1.0,88.1492,55.1,-108.6,0.7353,0.319,250.0,1.3664,0.94,1.36,2.6,0.264705882,0.419019608,0.624716981,14.8,4.3,5.0,119.8819529,No Group,,100.0,,,,98.0,100.0,92.0,,,45 £/L,t-Butyl methyl ether
41,Methyl tetrahydrofuran,Problematic,2.0,86.1334,81.0,-136.0,0.85,0.4753,81.8,1.406,0.82,1.38,6.97,0.0,0.58,0.53,16.9,5.0,4.3,101.3334118,No Group,81.0,100.0,,,,96.0,100.0,98.0,38.0,,54 £/L,Methyl tetrahydrofuran
42,"Dimethylethylene urea",No Ranking,,114.15,225.0,8.0,1.058,1.9256,0.1,1.472,-0.03,2.64,37.6,0.264705882,0.419019608,0.624716981,17.8,9.5,9.3,107.8922495,No Group,,,,,,,,,,,318 £/L,None
43,"Dimethylformamide",Hazardous,1.0,73.0944,152.8,-60.3,0.9445,0.79,3.87,1.42083,-1.01,3.82,36.71,0.0,0.69,0.88,17.4,13.7,11.3,77.38951826,No Group,,100.0,,69.0,88.0,,,,,,32 £/L,Dimethylformamide
44,"Dimethylpropylene urea",Problematic,2.0,128.18,246.5,-23.0,1.06,2.917,0.0,1.472,-0.03,4.17,36.12,0.264705882,0.419019608,1.08,18.0,10.5,9.7,120.9245283,No Group,,,,,,,,,,,350 £/L,None
45,Nitrobenzene,No Ranking,,123.11,210.8,5.7,1.2037,1.863,0.245,1.5562,1.85,4.23,36.09,0.0,0.3,1.01,20.0,8.6,4.1,102.2763147,No Group,,,,,,,,,,,52 £/L,None
